id	x	y
521	682012.6631	5645244.863
522	686012.6631	5645244.863
523	690012.6631	5645244.863
524	694012.6631	5645244.863
525	698012.6631	5645244.863
526	702012.6631	5645244.863
536	578012.6631	5641244.863
537	582012.6631	5641244.863
538	586012.6631	5641244.863
539	590012.6631	5641244.863
540	594012.6631	5641244.863
541	598012.6631	5641244.863
542	602012.6631	5641244.863
543	606012.6631	5641244.863
544	610012.6631	5641244.863
545	614012.6631	5641244.863
546	618012.6631	5641244.863
547	622012.6631	5641244.863
548	626012.6631	5641244.863
549	630012.6631	5641244.863
550	634012.6631	5641244.863
551	638012.6631	5641244.863
552	642012.6631	5641244.863
553	646012.6631	5641244.863
554	650012.6631	5641244.863
555	654012.6631	5641244.863
556	658012.6631	5641244.863
557	662012.6631	5641244.863
558	666012.6631	5641244.863
559	670012.6631	5641244.863
560	674012.6631	5641244.863
561	678012.6631	5641244.863
562	682012.6631	5641244.863
563	686012.6631	5641244.863
564	690012.6631	5641244.863
565	694012.6631	5641244.863
566	698012.6631	5641244.863
567	702012.6631	5641244.863
568	706012.6631	5641244.863
576	574012.6631	5637244.863
577	578012.6631	5637244.863
578	582012.6631	5637244.863
579	586012.6631	5637244.863
580	590012.6631	5637244.863
581	594012.6631	5637244.863
582	598012.6631	5637244.863
583	602012.6631	5637244.863
584	606012.6631	5637244.863
585	610012.6631	5637244.863
586	614012.6631	5637244.863
587	618012.6631	5637244.863
588	622012.6631	5637244.863
589	626012.6631	5637244.863
590	630012.6631	5637244.863
591	634012.6631	5637244.863
592	638012.6631	5637244.863
593	642012.6631	5637244.863
594	646012.6631	5637244.863
595	650012.6631	5637244.863
596	654012.6631	5637244.863
597	658012.6631	5637244.863
598	662012.6631	5637244.863
599	666012.6631	5637244.863
600	670012.6631	5637244.863
601	674012.6631	5637244.863
602	678012.6631	5637244.863
603	682012.6631	5637244.863
604	686012.6631	5637244.863
605	690012.6631	5637244.863
606	694012.6631	5637244.863
607	698012.6631	5637244.863
